word	reason	dominant_untaught_sense	taught_gloss
advocate	polysemous: dominant sense is not the taught one	an advocate (person)	publicly recommend or support
intimate	polysemous: dominant sense is not the taught one	an intimate relationship	closely acquainted, familiar, detailed or thorough
entitled	polysemous: dominant sense is not the taught one	titled / feeling entitled	give someone a legal right
plastic	polysemous: dominant sense is not the taught one	the material	easily shaped, offering scope for creativity
stern	polysemous: dominant sense is not the taught one	the stern of a ship	serious, strict and severe
brook	polysemous: dominant sense is not the taught one	a stream	tolerate
partial	polysemous: dominant sense is not the taught one	incomplete	incomplete, biased, having a liking for
provincial	polysemous: dominant sense is not the taught one	of a province	narrow-minded
slight	polysemous: dominant sense is not the taught one	small in degree	small in degree, or insult by treating without respect
compromise	polysemous: dominant sense is not the taught one	a negotiated agreement	harm by accepting standards lower than is desirable
countenance	polysemous: dominant sense is not the taught one	a face	facial expression, or support or approval
documentary	polysemous: dominant sense is not the taught one	a documentary film	based on official documents
cloak	polysemous: dominant sense is not the taught one	a garment	something serving to hide or disguise something
inclined	polysemous: dominant sense is not the taught one	sloping	willing or disposed to do something
patent	polysemous: dominant sense is not the taught one	a patent	easily recognizable, obvious
sound	polysemous: dominant sense is not the taught one	noise / a sound	not damaged, showing good judgment, competent
scorn	polysemous: dominant sense is not the taught one	the common sense is the taught one but collides with contempt	contempt, or refuse something out of pride
base	polysemous: dominant sense is not the taught one	foundation, military base, chemistry	sordid, improper, low
coin	polysemous: dominant sense is not the taught one	a coin	invent, create
noble	polysemous: dominant sense is not the taught one	a nobleman	of high moral principles, of superior quality
prime	polysemous: dominant sense is not the taught one	prime minister, prime number	of first importance, most suitable
manifest	polysemous: dominant sense is not the taught one	manifest destiny / ship's manifest	obvious, or demonstrate, or become apparent
minute	polysemous: dominant sense is not the taught one	sixty seconds	insignificant, or taking small points into consideration
universal	polysemous: dominant sense is not the taught one	generic use, Universal	applicable to all cases, ubiquitous
render	polysemous: dominant sense is not the taught one	rendering, render unto	provide, make, cause to become, represent
economy	polysemous: dominant sense is not the taught one	the economy	careful management of available resources
elementary	polysemous: dominant sense is not the taught one	elementary school	of the most basic kind, straightforward and uncomplicated
temper	polysemous: dominant sense is not the taught one	lose one's temper	act as a neutralizing or counterbalancing force to
appropriate	polysemous: dominant sense is not the taught one	suitable	take for one's own use, seize
suspect	polysemous: dominant sense is not the taught one	a suspect (noun)	doubt the genuineness of
yield	polysemous: dominant sense is not the taught one	crop yield, traffic yield	produce or provide, surrender, give way
abstract	polysemous: dominant sense is not the taught one	an abstract (noun) / abstract art	consider theoretically or separately from something else
august	polysemous: dominant sense is not the taught one	the month	respected and impressive, distinguished, venerable
retiring	polysemous: dominant sense is not the taught one	retiring from work	shy and fond of being on one's own, self-effacing
conviction	polysemous: dominant sense is not the taught one	a criminal conviction	a firmly held belief, or a declaration of guilt
