group	word	gloss
1	abound	exist in large numbers or amounts
1	amorphous	without a clearly defined shape or form
1	austere	strict in manner, having no comforts or luxuries
1	belie	fail to give true impression of something, contradict
1	capricious	sudden change of mood, unpredictable, fickle
1	cerebral	intellectual rather than physical
1	congenial	pleasant or agreeable because suited to one's taste
1	conspicuous	clearly visible, attracting notice or attention
1	cursory	hasty and therefore not thorough or detailed
1	daunting	difficult to deal with, discourage through fear
1	deify	worship or regard as a god
1	didactic	instructive, particularly so as to appear patronizing
1	disseminate	spread widely
1	feasible	possible to do easily or conveniently
1	flout	openly disregard, mock, scoff
1	homogeneous	of the same kind
1	humdrum	lacking excitement or variety, boringly monotonous
1	insipid	tasteless, lacking interest
1	loquacious	talkative
1	misanthropic	having or showing dislike of other people
1	misnomer	a wrong or inaccurate name or designation
1	negligent	failing to take proper care over something
1	obsequious	obedient to an excessive or servile degree
1	placate	make less angry
1	proclivity	a tendency to choose or do something regularly
1	puerile	childishly silly
1	quixotic	extremely idealistic, unrealistic, impractical
1	spendthrift	a person who spends money in an irresponsible way
1	taciturn	saying little
1	wary	feeling or showing caution about possible dangers
2	adulterate	render poorer in quality by adding another substance
2	advocate	publicly recommend or support
2	aggrandize	increase power, status, reputation of someone
2	alacrity	brisk and cheerful readiness
2	ambivalent	having mixed feelings or contradictory ideas
2	ameliorate	make something bad better
2	amenable	open to suggestions, easily persuaded, susceptible
2	anachronistic	belonging to a period other than that being portrayed
2	audacious	willingness to take surprisingly bold risks
2	avaricious	showing extreme greed for wealth or material gain
2	banal	lacking in originality as to be obvious and boring
2	benign	gentle and kind, not harmful
2	brazen	bold and without shame
2	calumny	false and slanderous statement about someone
2	candid	truthful and straightforward
2	castigate	reprimand severely
2	caustic	sarcastic in a bitter way
2	construe	interpret in a particular way
2	contrite	feeling or expressing remorse that one has done wrong
2	convoluted	extremely complex and difficult to follow
2	covet	yearn to possess something belonging to another
2	craven	lacking in courage, cowardly
2	decorum	behavior in keeping with good taste and propriety
2	deft	demonstrating skill and cleverness
2	demur	raise objections or show reluctance
2	derivative	imitative of the work of another
2	desiccate	cause to become completely dry
2	diatribe	a forceful and bitter verbal attack
2	incredulous	unwilling or unable to believe something
2	ingenuous	innocent, naive or unsuspecting
3	abate	become less intense or widespread
3	abjure	solemnly renounce a belief, cause or claim
3	anomalous	deviating from what is standard
3	antipathy	a deep-seated feeling of aversion
3	arcane	understood by few, mysterious or secret
3	arduous	involving or requiring strenuous effort, tiring
3	artless	without deception, effort or pretentiousness, natural
3	ascetic	severe self-discipline, austere
3	assuage	make an unpleasant feeling less intense
3	betray	gravely disloyal, unintentionally reveal
3	bucolic	relating to the pleasant aspects of the countryside
3	burgeon	begin to grow or increase rapidly, flourish
3	cacophonous	involving or producing harsh sounds
3	canonize	treat as of great significance, place in a canon
3	censure	express severe disapproval, especially formally
3	chicanery	use of deception or subterfuge
3	coalesce	come together to form one mass or whole
3	cogent	clear, logical and convincing
3	compelling	evoking interest in a powerful irresistible way
3	contend	struggle to surmount a difficulty, assert a position
3	copious	abundant in supply
3	cosmopolitan	mixture of cultures
3	deference	polite submission and respect
3	desultory	lacking plan, purpose or enthusiasm, occurring randomly
3	diffident	modest or shy because of a lack of self-confidence
3	dilatory	slow to act, intended to cause delay
3	equivocate	use ambiguous language
3	polarize	divide into two sharply contrasting groups
3	prodigal	spending money recklessly
3	verbose	using more words than are needed
4	abstain	restrain oneself from doing
4	approbation	approval or praise
4	cherish	protect and care for lovingly
4	corroborate	confirm or give support to a statement or finding
4	disparate	essentially different in kind, not able to be compared
4	emulate	match or surpass a person or achievement by imitation
4	enervate	make someone feel drained of energy
4	ephemeral	lasting for a very short time
4	fervid	intensely enthusiastic or passionate, excessively so
4	garrulous	excessively talkative, especially on trivial matters
4	incendiary	tending to stir up conflict
4	inimical	tending to obstruct, unfriendly hostile
4	intimate	closely acquainted, familiar, detailed or thorough
4	invigorate	give strength or energy to
4	mitigate	make something bad less severe, serious or painful
4	obsolete	out of date
4	opaque	unclear, not transparent
4	paradigmatic	serving as a typical example of something
4	pedantic	excessively concerned with minor details
4	placid	not easily upset or excited, calm and peaceful
4	polemical	involving strongly critical writing or speech
4	precipitate	cause to happen suddenly or prematurely
4	profundity	great depth of insight or knowledge
4	prophetic	accurately predicting what will happen in future
4	prudent	acting with care and thought for the future
4	punctilious	showing great attention to detail or correct behavior
4	recondite	little known, abstruse
4	scrupulous	careful, thorough, and extremely attentive to details
4	tranquil	free from disturbance, calm
4	vacillate	waver between different opinions, be indecisive
5	aloof	not friendly, distant, detached
5	clangor	a continuously loud banging or ringing sound
5	conventional	following traditional forms and genres
5	debunk	expose the falseness or hollowness of an idea
5	diminutive	extremely or unusually small
5	discernible	perceptible, visible, noticeable
5	enigmatic	difficult to understand, mysterious
5	estranged	no longer close to someone, alienated
5	extravagant	excessive, elaborate
5	fanciful	over-imaginative, unrealistic, highly ornamental
5	frivolous	carefree, not having any serious purpose
5	heterogeneous	diverse in character or content
5	imperious	arrogant and domineering
5	impertinent	not showing proper respect, irrelevant
5	invasive	tending to spread very quickly or harmfully
5	irresolute	showing or feeling hesitancy, uncertain
5	laudable	deserving praise and commendation
5	lax	not sufficiently strict or careful
5	marginalize	treat a person or group as insignificant or peripheral
5	panache	flamboyant confidence of style or manner
5	plodding	slow moving and unexciting
5	prosaic	lacking originality, commonplace, unromantic
5	remedial	intended as a cure
5	restive	unable to remain still, silent, or submissive
5	sporadic	infrequent, scattered or isolated, occasional
5	stigmatize	regard with great disapproval
5	undermine	erode the base, lessen the effectiveness
5	utterly	completely or without qualification, absolutely
5	weary	extremely tired
5	zealous	showing zeal, fervent, passionate, ardent
6	admonish	warn or reprimand someone firmly
6	aesthetic	concerned with beauty
6	affectation	pretension, facade
6	alleviate	make suffering less severe
6	analogous	comparable in certain respects
6	bolster	support or strengthen
6	chauvinistic	displaying aggressive patriotism or excessive support
6	connoisseur	an expert judge in matters of taste
6	dissemble	conceal or disguise one's true feelings or beliefs
6	dogged	showing tenacity and grim persistence
6	dupe	trick, a victim of deception
6	empirical	based on observation rather than theory
6	engender	cause or give rise to a feeling or situation
6	entitled	give someone a legal right
6	pertinacious	holding firmly to an opinion or a course of action
6	presumptuous	failing to observe limits of what is appropriate
6	probity	having strong moral principles, honesty and decency
6	proliferate	increase rapidly in number, multiply
6	specious	superficially plausible but actually wrong
6	spurious	not being what it purports to be, false or fake
6	subjective	influenced by personal feelings, tastes, opinions
6	subvert	undermine the power and authority of a system
6	timorous	lack of confidence, easily frightened
6	tortuous	full of twists and turns, excessively complex
6	tractable	easy to control or influence, easy to deal with
6	transient	lasting for a short time
6	ubiquitous	present or found everywhere, omnipresent
6	underscore	emphasize
6	venal	open to bribery, corrupt
6	venerate	regard with great respect, reverence
7	appease	pacify or placate, assuage or satisfy
7	arbitrary	based on random choice, unrestrained use of authority
7	archaic	very old or old-fashioned
7	clamorous	making loud and confused noise
7	dearth	a scarcity or lack of something
7	explicable	able to be accounted for or understood
7	hyperbole	exaggerated statements not meant to be taken literally
7	immutable	unable to be changed
7	indefatigable	persisting tirelessly, untiring
7	indolent	lazy, idle
7	insular	uninterested in cultures or ideas outside one's own
7	intransigent	unwilling to change one's views, uncompromising
7	intrepid	fearless, adventurous
7	irreverent	showing lack of respect for things taken seriously
7	loathe	feel intense dislike or disgust for
7	malign	evil in nature, speak about someone spitefully
7	malleable	easily influenced, pliable
7	neophyte	a person who is new to a subject or activity
7	plastic	easily shaped, offering scope for creativity
7	platitude	used too often to be interesting or thoughtful
7	prescient	showing knowledge of events before they take place
7	pristine	spotless, clean and fresh, immaculate
7	reproach	expression of disapproval
7	robust	vigorous, able to withstand adverse conditions
7	salubrious	healthy, pleasant
7	sanction	official permission, or a penalty for disobeying a rule
7	sedulous	showing dedication and diligence
7	soporific	tediously boring or monotonous, sleep-inducing
7	stern	serious, strict and severe
7	tendentious	intending to promote a controversial point of view
8	accentuate	make more noticeable or prominent
8	conjectural	based on or involving conjecture, speculative
8	convivial	friendly, lively and enjoyable
8	decadent	characterized by moral or cultural decline
8	egregious	outstandingly bad, shocking
8	evanescent	soon passing out of sight or memory, quickly fading
8	flamboyant	tending to attract attention, bright and noticeable
8	forestall	prevent or obstruct by taking advance action
8	gainsay	deny, contradict, speak against or oppose
8	galvanize	shock or excite someone into taking action
8	indiscriminate	done at random or without careful judgment
8	innocuous	not harmful or offensive
8	momentary	lasting a very short time, brief
8	mundane	lacking interest or excitement, dull
8	nettlesome	causing annoyance or difficulty
8	nullify	make null and void, invalidate
8	obviate	remove, avoid or prevent
8	omnipresent	widespread, constantly encountered
8	oust	drive out or expel from a position or place
8	palpable	so intense as to seem almost tangible, plain to see
8	perfidy	state of being deceitful and untrustworthy
8	profuse	abundant
8	pugnacious	eager to argue, quarrel or fight
8	sagacious	wise or shrewd, intelligent
8	sanguine	optimistic, positive
8	scant	insufficient or barely sufficient
8	skulduggery	dishonest behavior or activities, trickery
8	trivial	of little value or importance
8	utilitarian	designed to be useful or practical rather than attractive
8	vapid	offering nothing that is stimulating or challenging, bland
9	boorish	rough and bad-mannered, coarse
9	brook	tolerate
9	circumspect	wary, cautious
9	comity	considerate behavior towards others
9	commensurate	corresponding in size or degree, in proportion
9	cordial	warm and friendly
9	deleterious	causing harm
9	dichotomy	a division or contrast between two opposed things
9	edify	instruct or improve someone morally or intellectually
9	elicit	evoke or draw out a reaction from someone
9	erudite	having or showing great knowledge or learning
9	fecund	highly fertile
9	feeble	lacking physical strength or strength of character
9	felicitous	well chosen or suited to the circumstances, pleasing
9	forbear	refrain from doing something
9	haphazard	lacking any obvious principle of organization
9	hodgepodge	a confused mixture
9	impede	hinder
9	impetuous	acting quickly and without thought or care
9	irascible	having a tendency to be easily angered
9	mercenary	making money at the expense of ethics
9	meticulous	very careful and precise
9	mordant	having a sharp or critical quality, biting
9	outstrip	move faster and overtake, exceed
9	precarious	not securely held, dangerously likely to fall, uncertain
9	quirky	having peculiar or unexpected traits
9	repudiate	refuse to accept, deny the truth or validity
9	tact	skill and sensitivity in dealing with others
9	trifling	unimportant or trivial
9	turbulent	characterized by conflict or disorder, not stable
10	acumen	the ability to make good judgments and quick decisions
10	antithesis	contrast or opposition between two things
10	ascribe	regard a quality as belonging to
10	befuddled	unable to think clearly
10	eschew	deliberately avoid using, abstain from
10	esoteric	likely to be understood by only a small number of people
10	evasive	tending to avoid commitment or self-revelation
10	exculpate	show or declare that someone is not guilty
10	expedite	make an action happen sooner or more quickly
10	fastidious	very attentive and concerned about accuracy and detail
10	feign	pretend to be affected by a feeling or injury
10	furtive	secretive, suggestive of guilty nervousness
10	hamper	hinder
10	indispensable	absolutely necessary
10	lament	a passionate expression of grief or sorrow
10	myopic	short-sighted
10	nonchalant	calm and relaxed, not displaying anxiety
10	partial	incomplete, biased, having a liking for
10	pensive	engaged in serious thought
10	portend	be a sign or warning that something bad is likely
10	provincial	narrow-minded
10	rudimentary	limited to basic principles
10	salutary	producing good effects, beneficial
10	sever	divide by cutting suddenly and forcibly, break off
10	slight	small in degree, or insult by treating without respect
10	somnolent	sleepy, drowsy
