word	reason	per_million	taught_gloss
accessible	common but unambiguous: low teaching value, low error-2 risk	16.9	able to be reached or entered
apt	common but unambiguous: low teaching value, low error-2 risk	11.2	suitable in the circumstances, or quick to learn
baroque	common but unambiguous: low teaching value, low error-2 risk	10.0	highly ornate and extravagant in style
byzantine	common but unambiguous: low teaching value, low error-2 risk	11.9	excessively complicated, characterized by deviousness
cease	common but unambiguous: low teaching value, low error-2 risk	14.0	come or bring to an end
comply	common but unambiguous: low teaching value, low error-2 risk	8.2	act in accordance with a wish or command
consensus	common but unambiguous: low teaching value, low error-2 risk	10.9	a general agreement
conspicuous	common but unambiguous: low teaching value, low error-2 risk	8.2	clearly visible, attracting notice or attention
contempt	common but unambiguous: low teaching value, low error-2 risk	15.7	the feeling that a person or thing is worthless
conventional	common but unambiguous: low teaching value, low error-2 risk	18.0	following traditional forms and genres
cunning	common but unambiguous: low teaching value, low error-2 risk	10.2	skill in achieving one's ends by deceit
deliberate	common but unambiguous: low teaching value, low error-2 risk	8.6	done consciously and intentionally
divorced	common but unambiguous: low teaching value, low error-2 risk	10.3	separated from something, typically undesirably
endemic	common but unambiguous: low teaching value, low error-2 risk	14.3	found particularly in a specific area or group
feeble	common but unambiguous: low teaching value, low error-2 risk	10.0	lacking physical strength or strength of character
inform	common but unambiguous: low teaching value, low error-2 risk	13.1	give facts or information
modest	common but unambiguous: low teaching value, low error-2 risk	16.4	not large, elaborate or expensive, self-deprecating
obscure	common but unambiguous: low teaching value, low error-2 risk	11.6	not discovered or known about, abstruse
peculiar	common but unambiguous: low teaching value, low error-2 risk	25.7	strange, or belonging exclusively to
pious	common but unambiguous: low teaching value, low error-2 risk	9.0	devoutly religious, or sincere but unlikely to be fulfilled
profound	common but unambiguous: low teaching value, low error-2 risk	15.8	very great or intense, showing great knowledge
radical	common but unambiguous: low teaching value, low error-2 risk	17.7	far-reaching, thorough, revolutionary
rational	common but unambiguous: low teaching value, low error-2 risk	9.1	based on or in accordance with reason or logic
reproach	common but unambiguous: low teaching value, low error-2 risk	8.3	expression of disapproval
robust	common but unambiguous: low teaching value, low error-2 risk	9.1	vigorous, able to withstand adverse conditions
subtle	common but unambiguous: low teaching value, low error-2 risk	12.4	delicately complex, using clever and indirect methods
unprecedented	common but unambiguous: low teaching value, low error-2 risk	8.2	never done or known before
utterly	common but unambiguous: low teaching value, low error-2 risk	19.2	completely or without qualification, absolutely
weary	common but unambiguous: low teaching value, low error-2 risk	18.9	extremely tired
