# Sense-keyed inversions (PLAN §3 error 2; DATA_PLAN §4 stage 8).
#
# v1 had ONE ROW PER TRIGGER, which is exactly the data-model fault PLAN §3
# records for the original: "the vocabulary asserted one part of speech and one
# sense per word -- errors 1 and 2 were the data model working as written, not
# bugs." Entries are now keyed by (trigger, sense).
#
# block_context : if any of these content words appear in the sentence, veto.
#                 Each one was derived from an observed failure, not guessed.
# require_context: if non-empty, at least one must appear.
trigger	replacement	hard_word	pos	trigger_sense	block_context	require_context	note
very common	ubiquitous	ubiquitous	ADJ	found everywhere			
everywhere	ubiquitous	ubiquitous	ADV	found everywhere			
short-lived	ephemeral	ephemeral	ADJ	lasting briefly			
fleeting	ephemeral	ephemeral	ADJ	lasting briefly			
talkative	loquacious	loquacious	ADJ	of a person			
chatty	garrulous	garrulous	ADJ	of a person			
stubborn	obstinate	obstinate	ADJ	refusing to change			
boring	tedious	tedious	ADJ	dull and overlong			
dull	humdrum	humdrum	ADJ	lacking variety	blade|blades|knife|knives|edge|sharpen|sharp|scissors|ache|pain|thud|roar		"dull blade" is the sharpness sense
pointless	futile	futile	ADJ	achieving nothing			
useless	futile	futile	ADJ	achieving nothing			
harmful	deleterious	deleterious	ADJ	causing damage			
harmless	innocuous	innocuous	ADJ	causing no harm			
watchful	vigilant	vigilant	ADJ	alert to danger			
cautious	circumspect	circumspect	ADJ	prudently wary	optimism|optimistic|welcome		"cautious optimism" is fixed
shrewd	astute	astute	ADJ	sharp-witted			
wordy	verbose	verbose	ADJ	using too many words			
long-winded	verbose	verbose	ADJ	using too many words			
gloomy	morose	morose	ADJ	sullen, of a person	weather|sky|skies|forecast|room|day|outlook|prospects	he|she|him|her|his|man|woman|face	morose is of people, not weather
peaceful	tranquil	tranquil	ADJ	free from disturbance	protest|protests|demonstration|march|transition|resolution|settlement		"peaceful protest" is political, not calm
calm	placid	placid	ADJ	not easily upset			
risky	precarious	precarious	ADJ	unstable, likely to fail			
dangerous	perilous	perilous	ADJ	full of risk	criminal|weapon|offender|dog|animal		perilous describes situations, not agents
generous	munificent	munificent	ADJ	giving lavishly	portion|serving|helping|amount|size		
wasteful	profligate	profligate	ADJ	recklessly extravagant			
widespread	pervasive	pervasive	ADJ	spread throughout			
unclear	opaque	opaque	ADJ	hard to understand	i|we|you|unsure|whether|myself		a person cannot be "opaque as to whether"
obvious	manifest	manifest	ADJ	plain to see			DEFER: hard_word is polysemous
careful	meticulous	meticulous	ADJ	attentive to detail	careful not|be careful|watch out		"be careful not to" is a warning, not praise
fussy	fastidious	fastidious	ADJ	hard to please			
friendly	amicable	amicable	ADJ	of relations between parties	user|administration|business|eco|environmentally|family	settlement|divorce|split|separation|terms|agreement|relations	amicable is for disputes; blocks X-friendly compounds
warm and friendly	cordial	cordial	ADJ	of manner			
bitter	acrimonious	acrimonious	ADJ	of a dispute	taste|tastes|flavour|flavor|sweet|chocolate|coffee|almond|dust|cold|wind|nutmeg	dispute|divorce|battle|feud|row|split|exchange|debate	blocks the taste sense
slow	sluggish	sluggish	ADJ	lacking energy	guitar|song|ballad|tempo|music|track|dance|motion|cooker		"slow" in music is a tempo term
tough	resilient	resilient	ADJ	recovering from setbacks	neighbourhood|neighborhood|question|decision|call|times|luck|guy|steak|meat	bounce|recover|setback|adversity|resilience	blocks "tough neighborhoods/times"
loyal	steadfast	steadfast	ADJ	unwavering			
honest	candid	candid	ADJ	frank and outspoken			
skilful	adept	adept	ADJ	highly skilled			
skillful	adept	adept	ADJ	highly skilled			
lazy	indolent	indolent	ADJ	habitually idle	sunday|afternoon|river|summer|eye		"lazy afternoon" is leisurely, not idle
greedy	avaricious	avaricious	ADJ	for money			
arrogant	haughty	haughty	ADJ	disdainful			
rude	churlish	churlish	ADJ	mean-spirited and ungracious	gesture|word|words|language|joke|awakening	refuse|refusing|ungracious|decline|churl	churlish is about ingratitude, not obscenity
noisy	obstreperous	obstreperous	ADJ	unruly, hard to control	engine|machine|traffic|fan|neighbour|neighbor		obstreperous is of people
secret	clandestine	clandestine	ADJ	deliberately concealed activity	service|santa|weapon|sauce|ballot|garden		blocks named entities and fixed phrases
mysterious	enigmatic	enigmatic	ADJ	hard to interpret			
old-fashioned	archaic	archaic	ADJ	belonging to the past			
unchanging	immutable	immutable	ADJ	incapable of change			
tireless	indefatigable	indefatigable	ADJ	persisting without fatigue			
fearless	intrepid	intrepid	ADJ	adventurous			
plentiful	copious	copious	ADJ	abundant in supply			
abundant	profuse	profuse	ADJ	produced in large amounts	rain|rainfall|harvest|crop		profuse pairs with apologies/bleeding/sweating
brief	terse	terse	ADJ	of speech or writing	filing|court|legal|memo|case|attorney|lawyer|judge|stop|visit|pause|moment|encounter	statement|reply|answer|response|remark|comment|note|email	blocks the legal-document AND the duration senses
unimportant	trivial	trivial	ADJ	of little consequence			
ordinary	mundane	mundane	ADJ	dull and routine, of things	people|person|man|woman|citizens|folk|americans|worker|workers	task|tasks|chore|routine|detail|life|work|job	mundane means dull, not "average"; blocks "ordinary people"
scarce	scant	scant	ADJ	barely sufficient			replaces v1's scarce->sparse, which confused quantity with distribution
hate	abhor	abhor	VERB	regard with disgust	speech|crime|crimes|group|mail		"hate speech/crime" are fixed
hates	abhors	abhor	VERB	regard with disgust	speech|crime|crimes|group|mail		
hated	abhorred	abhor	VERB	regard with disgust	speech|crime|crimes|group|mail		
