# Generated by scripts/generate_inversions.py (PLAN §5.2 pass 2).
# Sense-keyed: one row per (trigger, sense). See senses.py.
trigger	replacement	hard_word	pos	trigger_sense	block_context	require_context	note
plausible	specious	specious	ADJ	seeming reasonable at first glance but in fact flawed	truly|genuinely|correct|proven|verified	but|however|actually|in fact|misleading|flawed	
misleading	specious	specious	ADJ	of an argument or reasoning that appears sound but deceives	label|packaging|advertising|statistics|photo|headline	argument|reasoning|claim|logic|justification	
fake	spurious	spurious	ADJ	not genuine, counterfeit	fake tan|fake fur|fake smile|laugh		
false	spurious	spurious	ADJ	not authentic; not what it claims to be	false teeth|false ceiling|false alarm|true or false|false start		
bogus	spurious	spurious	ADJ	counterfeit or sham			
personal	subjective	subjective	ADJ	based on individual feelings or taste rather than fact	personal assistant|personal computer|personal data|personal loan|personal trainer|personal space|personal life|personal injury	opinion|taste|judgment|judgement|preference|impression|view|interpretation	
biased	subjective	subjective	ADJ	coloured by personal opinion rather than objective	sample|statistically|coin|dice		
undermine	subvert	subvert	VERB	weaken the authority or legitimacy of an institution or order	foundation|wall|cliff|erosion|bank of the river		
undermines	subverts	subvert	VERB	weakens the authority or legitimacy of an institution or order	foundation|wall|cliff|erosion		
undermined	subverted	subvert	VERB	weakened the authority or legitimacy of an institution or order	foundation|wall|cliff|erosion		
timid	timorous	timorous	ADJ	lacking courage or confidence, easily frightened			
fearful	timorous	timorous	ADJ	prone to fear, apprehensive by disposition	fearful symmetry		
winding	tortuous	tortuous	ADJ	full of twists and bends, as of a road or path	winding down|winding up|clock|watch|yarn|thread	road|path|route|street|lane|river|staircase|trail|descent|climb	
convoluted	tortuous	tortuous	ADJ	excessively complex and hard to follow			
long and complicated	tortuous	tortuous	ADJ	drawn out and needlessly complex, as of a process			
manageable	tractable	tractable	ADJ	easy to deal with or control	manageable hair|debt|portions|size of the room		
obedient	tractable	tractable	ADJ	readily controlled or led	obedient to God|commandment		
short-lived	transient	transient	ADJ	lasting only a brief time			
temporary	transient	transient	ADJ	lasting for a limited time only	temporary file|temporary folder|temp|contract|staffing agency|temporary crown|temporary filling		
fleeting	transient	transient	ADJ	passing swiftly			
everywhere	ubiquitous	ubiquitous	ADJ	found in all places (predicative use after a linking verb)	everywhere else|from everywhere|go everywhere|look everywhere|travel	is|are|seems|seem|became|become|was|were	
widespread	ubiquitous	ubiquitous	ADJ	found or occurring over a wide area or among many people			
omnipresent	ubiquitous	ubiquitous	ADJ	present everywhere at once			
emphasize	underscore	underscore	VERB	give special importance to a point or fact	syllable|stress the word|pronunciation		
emphasizes	underscores	underscore	VERB	gives special importance to a point or fact	syllable|pronunciation		
highlights	underscores	underscore	VERB	draws attention to the importance of something	marker|yellow|text in the document|hair|highlights of the game		
corrupt	venal	venal	ADJ	willing to act dishonestly in return for money or bribes	corrupt file|corrupted data|disk|download|install	official|officials|police|judge|politician|politicians|bureaucrat|regime|government|cops	
bribable	venal	venal	ADJ	open to bribery			
revere	venerate	venerate	VERB	regard with deep respect and reverence			
revered	venerated	venerate	VERB	regarded with deep respect and reverence			
worship	venerate	venerate	VERB	honour with reverence, treat as sacred	service|Sunday|congregation|hymn|place of worship|worship team		
placate	appease	appease	VERB	pacify someone who is angry by giving in to demands			
pacify	appease	appease	VERB	calm an angry or hostile party by concession	region|province|rebels militarily|troops		
satisfy	appease	appease	VERB	assuage a demand, hunger, or craving	condition|requirement|criteria|equation|court|satisfy the debt	hunger|appetite|craving|thirst|critics|demands|anger|gods	
random	arbitrary	arbitrary	ADJ	chosen without reason or system	random number|randomly generated|random sample|randomized|statistics|seed|probability		
high-handed	arbitrary	arbitrary	ADJ	using authority without restraint or justification			
